PG10605-0204	冷鏈物流：智慧物流：高運力：供需調度：跨國通路
PB10602-0006	大數據分析：物聯網：區塊鏈：虛擬實境：人工智慧
PF10602-0076	綠色能源：區域創新系統：科研合作推動模式：科技合作：apec先進生物氫中心
PB10602-0244	萃智：kt 式理性思考法：系統性創新：問題解決流程：基於屬性的因果衝突鏈分析
PB10602-0051	離岸風機：地工設計參數：地質模型
PG10602-0351	前瞻因應：中高齡：活躍老化：成功老化
PG10602-0381	下世代汽車：節能動力系統：主動安全系統：輕量模組化結構平台
PG10603-0422	精準醫學：伴同式診斷：標靶治療：細胞治療：醫療級：製程放大：自動化
PG10601-0230	腸道菌：腸癌：抗生素：毒性因子
PG10603-0200	基因改造黃豆：關鍵成分：90天餵食試驗：致敏性評估
PG10602-0368	深層海水：小分子：可溶性有機物質：海洋療法：萃取提純：健康促進
PG10602-0377	2011年臺灣公路容量手冊：臺灣公路容量分析軟體：服務水準
PG10603-0493	台灣中藥典規格：中藥複方濃縮製劑：中藥單味濃縮製劑：指標成分：薄層層析：高效液相層析
PG10603-0441	雲端藥歷：社區藥局：用藥整合：藥事照護：醫藥雙向轉介：用藥安全
PG10603-0494	精神障礙：同儕支持：職業重建：工作適應
PG10601-0305	氣喘：基因：精確化醫療
PG10601-0310	普拉特草：多醣：生物活性
PG10603-0081	感應加熱：感應線圈：塑橡膠成形
PG10603-0113	輻射安全：輻射風險：可發生游離輻射設備
PG10603-0118	微渦輪：熱電共生：發電功率：引擎性能
PW10604-0010	sobek淹水模式：數值模型：加值應用
PG10605-0070	科學教育：教學模組：十二年國教
PG10605-0102	機關網站：食品相關系統：內部入口
PG10603-0041	智慧製造：網宇實體整合系統：巨量資料：物聯網：異質網路整合
PG10601-0420	磁化率：磁振造影
PG10601-0421	生脈飲：化學指紋圖譜
PG10602-0278	電動動力系統：感應馬達：耦合分析：精度壽命：智慧機械：動態分析
PG10601-0480	藥品技術資料評估：藥品許可證：教育訓練：賦形劑：包裝材質
PG10601-0518	工業節能：決策支援：能源查核：節能輔導
PG10603-0124	機器學習：資訊擷取：數據分析：技術：設計：科技美學
PB10602-0142	耐火合金：保護塗層材質：合金設計：渦輪引擎熱效率：高熵合金設計
PC10602-0025	學門業務推動：學門業務規劃
PF10602-0050	科技政策：產學合作創新創業：區域創新：服務創新：專利分析：產研合作
PA10602-0023	底棲魚類：底拖網調查：環境變遷：海洋生物多樣性及保育
PA10602-0016	納米晶體：熱電轉換：dft：tddft：dfpt
PB10602-0036	不銹鋼密封筒：應力腐蝕劣化：氯鹽沉積：減鹽裝置：可行性評估
PB10602-0005	電廠全黑：trace 熱水流程式：壓水式電廠：破口事故：斷然處置措施
PG10602-0360	中小企業：新興產業：法規調適：數位經濟：法制研究
PG10603-0378	新藥：競爭力：研發決策：優勢醫材：高風險醫材
PG10601-0248	過氧化苯甲醯：偶氮二甲醯胺：攝食量：暴露評估：健康風險評估
PG10601-0211	風壓：配電：架空
PG10603-0288	快速篩檢平台：創新標定法
PG10603-0324	電子顯微鏡技術：腺病毒
PG10701-0459	客家人：客家文化：鍾鐵民：短篇小說
PG10604-0088	高齡化：投票行為：政治參與：選舉投票服務
PG10603-0002	轉譯研究：臨床試驗：生技醫藥：法規諮詢
PG10612-0002	失智症：早期監測機制：預測模型
PG10605-0067	巨量資料分析：資料倉儲：資料治理：資訊視覺圖形化
PG10605-0133	gnss反射訊號：福衛七號：風速
PG10605-0134	電離層：福衛七號：太空天氣
PG10605-0137	全釩氧化還原液流電池：流道設計：分歧電流：石墨板：多孔性電極
PG10605-0199	車用48v電力系統：dc-dc轉換器：功率金氧半場效電晶體：嵌入式封裝技術：系統級功率電路板技術：可靠度
PG10605-0166	數位匯流：不對稱管制：數位經濟：資訊隱私：網路治理
PG10602-0207	電力通信：光纖纜線：地理資訊管理系統
PG10604-0039	國外：輸入藥品：製劑廠：原料藥廠：警訊
PG10601-0244	憂鬱症：干擾素-α：n-3 多元不飽和脂肪酸：個人化醫療：藥物基因體學研究
PG10601-0324	吸菸：戒菸：遺傳學研究
PG10601-0331	玻尿酸：交聯劑：交聯效率
PG10603-0123	口腔復形規劃：數位口腔咬合模擬：攝像式口內掃描系統：雷射銑削加工之補綴系統：脊椎微創導航：微波影像
PG10601-0563	線蟲：細菌感染模式：活性氧分子：ce-duox1/bli-3：基因減量
PG10603-0107	學名藥：原料藥：賦形劑：評核技術：體外試驗
PG10601-0522	粒徑篩選：植生復育：重金屬：鉛污染土壤：銅污染土壤
PG10602-0330	微創手術：光學同調顯微術：脊椎動態定位標：光學切片：細胞醫療：間質幹細胞：醫療級細胞庫
PF10602-0051	科技政策：全國科學技術會議：科技社群
PB10602-0031	操作模態分析(oma)：非定常環境振動：隨機子空間識別法(ssi)：多參考點頻域最小平方差法(polymax)
PA10602-0011	船舶運動：操縱控制：海象：動態反應
PF10602-0071	低功耗藍芽室內微定位(bluetooth low energy beacon：ble beacon)：獎勵機制(incentivemechanism)：互動式多媒體(interactive multimedia)：遊戲輔療(play therapy)：使用歷程(portfolio)：快樂時光機(well-being machine)
PC10602-0028	科技部：生科司：血液免疫醫學學門
PF10602-0031	選擇強度：k 臂赌博機問題：強化學習：天賦假設：探索-利用權衡：輕推力：選擇架構：食物選擇：預設偏見：社會規範：公共財賽局：利社會行為：神經經濟學
PC10602-0024	學門業務推動：學門業務規劃
PB10602-0087	災害健康損失：災害基礎設施損失：坡地災害：土砂：災害防救績效：資料包絡分析法
PB10602-0119	災害情資：災害基礎資料庫：決策輔助：災害應變：重點產業
PC10602-0018	福島事故：復原：行動基準：輻射防護
PG10602-0379	客家：觀光：遊程：旅遊：評估研究
PG10602-0412	尿路上皮細胞：自嗜作用：膀胱功能障礙：k它命
PG10603-0484	戒毒：美沙冬：中醫醫學
PG10601-0215	阿茲海默氏症：神經發炎：第三號誘餌受體
PG10602-0378	第四代行動通訊：進階長程技術演進：機器型態通訊：演進型封包核心：演進型節點b：系統工程：低功耗廣覆蓋：窄頻物聯網
PG10603-0013	精神專科醫院：精神疾病：自殺自傷：壓力源
PG10605-0215	輿情監測：非結構性資料：文字探勘
PG10605-0212	流感病毒：流感疫苗：抗體免疫反應：血清保護率
PG10601-0249	芳香烴受體：細胞核轉錄因子nf-e2相關因子：jun二聚化蛋白：活性氧化物：幹細胞
PG10601-0600	數位教科書設計：可用性測試：數學科數位教科書
PG10601-0544	健康食品：查驗登記：諮詢服務
PG10601-0547	糖尿病：口服降血糖藥物：市場結構：高接受性：推廣促用模式
PG10601-0550	臨床化學：乳糜血：lipemia
PB10602-0180	三相：雙向電力潮流：高功因：電動車充電器系統
PC10602-0047	脂質蛋白質：肺炎鏈球菌疫苗：黏膜免疫
PB10602-0219	石墨烯：碳化矽：外延成長
PB10602-0082	光達雷射掃描：無人飛行系統：數值地形模型：地滑：高解析度：高精度
PB10602-0019	場效電晶體感測器：電控微流體：異質晶片：生物修飾：封裝製程
PB10602-0079	地震風險評估：易損性：故障樹：邏輯樹
PC10602-0032	粒線體疾病：誘導型多能幹細胞：多孔二氧化矽奈米粒子(msn)：wolfram 症候群：merrf
PB10602-0225	多孔性石墨烯：staudenmaier 法：koh 活化：吸波材料
PB10602-0103	宜蘭地熱區：地溫梯度：現地應力：地熱探勘：加強型地熱系統
PG10603-0044	分散式儲能：鋁電池：鋅空氣液流二次電池
PG10603-0047	二氧化碳捕獲：二氧化碳封存：化學迴路
PG10603-0474	電業法修正案：風險分析：電業自由化
PG10603-0513	數位經濟：vtaiwan：科技法制政策：科技法制研究：法制幕僚：法規調適
PG10602-0046	能源管理系統：能源績效：能源績效指標
PG10602-0393	奈米過濾：倒極電透析：正滲透：水再生：海水淡化：系統驗證
PG10601-0280	casein kinase 1α：p53：黑色素瘤
PG10601-0551	惡性膠質細胞瘤：免疫治療
PG10601-0571	電動力技術：地工離心機：重力傳輸：土壤整治：縮時模擬
PB10602-0149	多角度入射：負導磁係數：負介電常數：三維負折射係數和兆赫波
PB10602-0236	alloy：52/52m：凝固裂紋失延裂紋微觀組織
PB10602-0182	智能販賣機：物聯網：影像辨識：市場分析決策：智慧城市
PC10602-0067	消化醫學：學門業務推動：學門業務規劃
PB10602-0066	地震前兆：理論模式：地震災害防治
PB10602-0049	電致吸收調變雷射：相位偏移莫列波光柵：全像干涉微影技術：直接耦合再磊晶：四階脈 衝振幅調變
PB10602-0158	共培養微流體：體外腫瘤模型：多細胞癌症球：腫瘤微環境：微凹孔
PG10604-0016	阻燃劑：建材
PG10604-0005	自然通風：綠建築：室內環境
PG10604-0017	集合住宅：建築資訊建模：維護管理
PG10604-0018	綠建材：低碳
PG10604-0031	臺灣省政府：檔案：國家檔案：檔案徵集：檔案調查
PG10603-0298	腹瀉：病原
PG10601-0287	黃連素：小鼠受精卵發育：小鼠精子發育：毒理機制
PG10601-0579	畜牧動物：動物源農產品：農藥：容許量：殘留
PA10602-0015	有限元素法：邊界元素法：水下噪音：結構聲學：振動
PA10602-0014	磁控式射頻濺鍍系統：薄金屬吸收層：微阻型紅外線感測器元件：五氧化二釩
PB10602-0240	潰壩緊急應變：洪水溢淹分析：大規模區域疏散：關鍵基礎設施：路網交通指派
PF10602-0011	台菲科技合作：科技發展現況：創新技術需求：科技問卷調查：合作模式及可行策略
PB10602-0002	高放射性廢棄物：碘物種：擴散：遷移：花崗岩：膨潤土
PA10602-0044	奈米科技：致能科技：顛覆性科技：技術成熟度：m-era：net 歐盟研究計畫平台：亞洲奈米論壇（asia nano forum：anf）：國際標準組織奈米技術委員會（iso/tc229）
PG10603-0092	紫尿袋症候群照護知識：態度與行為
PG10604-0056	瓶頸快篩系統：北臺運輸走廊
PG10605-0012	橘黴素：酵素免疫分析法：抗體：免疫層析試紙
PG10601-0294	自閉症類群疾患：神經認知功能：內在表現型：後續追蹤：社會心理結果：發展變化
PG10601-0368	甲氧基色胺：腎小管間質纖維化：尿毒素：缺氧：發炎：慢性腎臟疾病
PG10601-0354	國家藥園：蛇根草
PG10603-0163	眼科修復醫材技術：生醫補綴貼片：生物可降解凝膠：射頻熱消融：3d內視鏡：光場
PB10602-0183	緩衝材料：深層地質最終處置：水力傳導度
PB10602-0171	缸內直噴：轉子引擎：無人飛行載具：噴霧策略
PC10602-0005	ga-68：肝功能：asialoglycoprotein 受體：正子造影：小豬動物模型
PC10602-0039	困難梭狀桿菌：次單位疫苗：脂質化抗原
PB10602-0048	平面顯示器：3c 產業：元件電性量測：製程技術開發
PB10602-0234	雷達系統：散熱系統：相列感測器：小波神類經網路
PB10602-0124	鎂鋰合金：微弧氧化：抗蝕性：改色
PB10602-0013	伺服器散熱：電源供應器：衝擊冷卻：熱傳導強化：浸入式冷卻
PG10603-0096	能源調度：太陽光電：儲能系統
PG10603-0193	食品添加物：檢驗：方法確效
PG10601-0296	認知功能缺損：髖部骨折：老年：家庭照顧者：介入措施：性別
PG10601-0341	薪資制度：退撫制度：教育改革
PG10601-0662	柔性模型：氣彈：風洞試驗：振動台試驗：系統識別
PB10602-0132	地區災害特性：災害管理
PB10602-0012	核電廠：低中壓電纜：老化：劣化：檢測：評估
PB10602-0027	短波長紅外線：swir：偵測器：影像元件：變晶緩衝層：砷化銦鎵：磷砷化銦
PB10602-0175	碳纖維產業：技術聯盟
PB10602-0078	活動斷層：地下三維資料：地震災害：平衡剖⾯
PB10602-0106	防減災系統：地方災害基礎資料：中央與地方：苗栗縣
PB10602-0146	銅錳合金：銅鋅合金：金屬/介電層異質結構：非水溶劑電鍍：深共熔溶劑：低電位沉積
PG10604-0101	身心障礙鑑定：國際健康分類：類神經網路：疾病編碼
PG10602-0007	國家攝食資料庫：國家食物分類系統暨描述系統
PB10602-0242	能源：第二期能源國家型科技計畫：計畫辦公室：產學合作
PB10602-0107	中央與地方政府：防救災情資：宜蘭縣
PB10602-0160	無人飛行載具：永磁無刷發電機：直流激磁電流
PC10602-0031	醣醫學：醣科學：醣類：醣結合蛋白
PB10602-0011	動態非平衡效應：多相流：動態接觸角：動態毛細壓力：微模型
