PG10812-0040	戶外教育：活動理論：十二年國民基本教育：校訂課程
PD10806-0028	肝細胞癌：肺癌：腫瘤生物資料庫：研究網絡
PG10806-0091	兒童虐待：兒童不當對待：醫療利用：醫療支出：醫療成本
PB10807-8486	氧化鐵奈米粒子：奈米共軛物：固定化：酵素活性及抑制：重金屬離子：光學感測：紙材分析裝置
PF10807-5944	更年期：心血管疾病：長期追蹤研究
PA10807-2937	多重鍵分子：雙鍵分子：參鍵分子：第13族元素：第14族元素：第15族元素：第16族元素
PC10807-2957	體液遺留時間：rna標記：次世代定序技術：唾液：反轉錄pcr
PD10807-0540	火雞：溫體分切：溫體去骨：屠後蛋白質降解：肉品品質
PG10805-0108	公平原則：資訊揭露
PG10805-0110	自動化設備：登革熱試劑
PG10805-0112	除役技術：核電廠除役
PB10807-6373	持續整合：回歸測試改進技術：測試套件精簡：測試個案選擇：測試個案排序：錯誤定位
PF10807-4403	教育領導：教育研究：後設分析：系統性評論：研究統合：文獻評述
PF10807-4417	體感遊戲：執行功能：心率變異度：動脈硬度：運動訓練
PC10807-2960	甲狀腺腫瘤：喉返神經：術中神經監測：喉肌電圖：轉譯動物模式：經皮入路
PD10807-0543	林業生質纖維：木質素磺酸鹽：低溫裂解：生質物燃炭磚：熱值：污染排放物
PG10806-0028	先進公共運輸系統：地理資訊系統：公車服務缺口
PA10807-2939	中光層：大深度潛水：誘餌水下錄影：連通性：種原庫補充：熱點
PG10804-0030	鐵路：大數據：供給：需求
PG10801-0499	經濟部：技術處：學界科專：產學研價值創造計畫
PG10801-0405	食安法：食品安全衛生管理法規
PG10712-0124	績效管理：策略規劃：提升服務效能：資源手冊
PG10802-0011	能源技術服務產業：節能績效保證：節能績效量測與驗證
PG10801-0748	食品：藥品：安全：消費：消基會
PB10806-0212	奈米碳管：軟x射線：除靜電：電磁干擾：高壓電源
PG10801-0483	奶粉：訪查
PG10801-0500	食品原料：非傳統食品原料：安全性評估：溝通平台
PG10801-0327	思覺失調症：社區精神醫療：需要
PG10804-0060	出版：數位出版：閱讀：電子書：消費：圖書：漫畫：雜誌
PG10801-0082	地震：震源參數：破裂過程
PB10806-0314	二氧化鋯：贋復物：溶膠凝膠法：噴霧熱解法：抗菌粉體：抗菌釉料
PB10801-1410	準二維奈米材料：穩定性：太陽能電池：界面修飾：刮刀塗佈：封裝
PC10801-0917	長效：局部麻醉劑：協同作用：新藥研發
PE10801-0296	諷刺：道德：嘲諷：儒雅：身障：幽默
PE10801-0283	噝音變異：語句處理：語音變異：舌尖前後音：〈入〉字頭
PA10801-0540	第二型糖尿病：高血糖：鈉-葡萄糖協同運轉蛋白2：藥效基團模型：虛擬篩選：分子嵌合：分子動態模擬：分子結合能量分析：先導化合物
PC10801-0830	早產兒：低體溫：低血氧：罹病率：體重成長率：神經發展結果
PB10801-1325	信用風險：社會網絡分析：文字探勘：人工智慧：決策分析
PA10801-0569	函數型資料分析：函數導數：廣義線性模型：預測：交通壅塞
PF10801-0982	空氣汙染：醫療支出：老人認知：工具變數
PF10801-0981	大眾科普活動：全民科技素養：全民科學教育：前沿科技：科學-技術-工程-數學：科學-技術-社會：偏鄉科普教育
PG10903-0135	icf：輔具：小兒麻痺：參與度
PG10801-0084	認知功能：憂鬱症：神經元
PF10801-0928	槓桿循環：信用循環：房價：景氣循環
PF10801-0942	全球化：全球公民：在地化：社區大學：成人教育
PB10801-1541	快閃記憶體：可靠度：多位元快閃記憶體：單位元快閃記憶體效能：單元寫入方法：晶片密度：多位元快閃記憶體技術：閾值電壓關係：位元錯誤率：硬體：寫入：閾值電壓：耐久度：免備份寫入法
PG10802-0149	巨量資料：抗生素抗藥性：台灣院內感染監視資訊系統：資料交換平台：自動通報
PG10801-0361	藥品安全監視：全國藥品不良反應通報系統：藥品風險管理計畫：主動監控：嚴重藥物不良反應通報辦法：藥品優良安全監視規範
PG10801-0044	臺灣能源工程模型：可計算一般均衡模型：能源政策評估
PB10801-1831	過敏原：蛋白質體學：組學：矽藻：蛋白質表現：生物晶片：菇類免疫調節蛋白：精準食療
PB10801-1829	深度學習：軟體定義網路：入侵偵測與防禦系統：網路安全：物聯網
PF10801-1080	高績效工作系統：發展性領導：人力資本
PC10801-1037	pten：pink1：癲癇：粒線體：細胞自噬：粒線體分裂
PB10801-1952	視覺資料分析：資料驅動模型：虛擬實境：張量近似：叢集運算
PA10801-0706	epsilon-near-zero光學材料：電漿子異質結構：過渡金屬氮化物薄膜：光學感測：能量捕穫
PD10801-0194	水稻：ga 2-氧化酵素基因：耐逆境：分蘗增生：crispr/cas9編輯系統
PE10801-0414	詩僧：江戶時代：黃檗宗：深草元政：五山文學
PC10801-1281	類胰島小體：小體構型分析：功能篩選平台
PB10801-1940	oled顯示器：辨識績效：主觀偏好：視覺疲勞
PB10802-0083	鈣鈦礦結構材料：燃料電池(sofc/soec)：溶膠-凝膠法
PB10802-0086	智動化省工機具：設施蘆筍：物聯網：生產履歷：影像辨識：人工智慧
PG10802-0388	參與式跨界創新：科技應用：技術測試驗證：感知體驗
PF10803-0050	新南向政策：國際科研合作：科學外交
PB10806-0286	循環經濟：穴盤：六標準差：triz
PB10806-0289	錫陽極泥廢料回收：濕法冶金：資材化鉍：焙燒：貴鉛還原熔煉
PF10806-0150	科學與藝術跨領域：科普漫畫：科普漫畫比賽：科普漫畫展覽：科普漫畫人才培育
PA10806-0017	樟芝：固態培養：生物反應器：強制通氣
PG10804-0021	交通管制設施：設置規則：架構
PF10806-0157	新南向政策：生物多樣性：生物地理學：華萊士線：生態紀錄片
PD10806-0026	電漿醫學：電漿敷料：電漿貼布：電漿殺菌：電漿醫材：傷口敷料
PG10802-0023	能源議題：輿情分析：政策宣導
PG10801-0265	類小泛素修飾：腸道發炎疾病
PG10801-0206	神經退化疾病：單株抗體
PG10801-0204	樹突細胞：流感病毒：發育：第一型干擾素：發炎：類鐸受體
PE10807-1697	病毒：感染：戰爭：生態疾病：毒物：恐懼
PE10807-1698	智慧科技：互動藝術：肌力訓練：樂趣理論
PA10807-2931	酵素動力學：化學機械動力學：靶向拉伸分子動力模擬：傘狀取樣法：平均力位能：自由能勢能面：蛋白質介面摺疊結構：水合動態結構：基質通道移轉：結合常數：轉換率
PG10806-0196	潛變：先進鍋爐材料
PC10807-2936	動靜脈瘻管：血管通路：機器學習：演算法：醫療耗用：預測模型：血液透析：生物標記
PC10807-2948	軟骨生長板：第一型盤基蛋白接受體（ddr1）：椎間盤：基因剔除小鼠：髓核細胞
PC10807-2949	極低密度脂蛋白：心房心肌病變：心房顫動：代謝症候群：極低密度脂蛋白接受器：粒線體：粒線體基因損傷：心房細胞：單核球：g 蛋白：細胞凋亡
PC10807-2947	大量傷患事故：緊急醫療救護：救護派遣：後送分流：應變搶救
PC10807-2938	嵌合抗原受體t细胞免疫療法：nkg2d自然殺手細胞受體：同種異體：pd-1 t細胞耗竭基因：crispr/cas9基因編輯技術
PC10807-2961	克沙奇病毒：射干麻黃湯：抗病毒：機轉：藥物動力學
PC10807-2939	熱休克蛋白90：拓樸異構酶抑制劑：著色性乾皮互補組蛋白c：非小細胞肺癌：細胞毒性：基因毒性
PG10805-0080	骨質疏鬆症：脆弱性骨折：骨折聯合照顧服務
PG10805-0081	退化性腰椎滑脫症：骨質密度：骨質疏鬆症
PG10805-0082	失智症：認知測驗：認知功能：電腦化修正：畫時鐘
PE10807-1710	知識性圖畫書：科學圖畫書：對位效果：敘事節奏：具身經驗
PE10807-1718	梅洛龐蒂：德勒茲：語言：身體：意義
PF10807-4441	調整最小平方法：貝氏結構方程模式：雙因素模式：非線性結構方程模式：潛在中介模式
PG10804-0104	電子商務：物流：供應鏈管理：物流通道：商品流通
PG10803-0149	精準醫療分子檢測：高度複雜性：次世代定序：驗證指引
PG10803-0089	通訊傳播：數位匯流：動態觀測：創新應用：互動式資料庫
PG10803-0119	船舶自動識別系統：海洋陣列雷達：電子海圖系統：船舶運行管理
PG10803-0092	全外顯子體定序：思覺失調症：突變
PG10801-0564	能源發展綱領：能源管理法：參與式能源治理：性別主流化
PG10801-0606	藥品優良製造規範：無菌藥品：無菌製劑查核訓練
PG10804-0036	藥證業務管理資訊系統：藥物許可證：醫療器材：化粧品：同意函申請：通關自動化
PG10805-0009	物流服務：供應鏈管理：自由貿易港區：多國配銷：境內關外：多式聯運：發貨中心：轉口轉運
PG10805-0025	數位醫療：人工智慧：健康物聯網：智慧醫療：雲端：大數據：穿戴式裝置：遠距醫療
PG10803-0015	單一窗口：系統安全：模組回收
PG10802-0069	化粧品：安全資料簽署人員
PG10801-0331	攝護腺癌：癌轉移：蛋白酶
PG10801-0332	失智症：糖尿病：全民健保
PG10801-0335	空虛感：信度：效度
PG10801-0337	康復模式：思覺失調症
PB10806-0217	穿透頻譜檢測：變解析度光譜儀：變色鏡片：太陽眼鏡
PW10803-0295	研究資料庫：健保資料庫：癌症：資料品質：研究能力
PG10712-0154	腹瀉病毒：流行病學調查
PG10802-0384	冷凝冷卻水回收：染色製程廢熱回收：溢流水洗
PG10802-0399	綠能博物館：博物館：民間經營：綠能：台灣電力股份有限公司：可行性評估
PG10802-0380	災難醫療救護隊：心理健康：生理健康
PG10802-0387	跌倒：科技輔助
PG10805-0021	標準傳遞：校正：量測：比對：追溯：評鑑
PG10804-0138	生物炭：循環經濟：二氧化錳：地下水整治
PB10806-0299	建築資訊模型：混合實境：鋼筋組立作業
PB10806-0422	聚氨基甲酸酯：塗佈織物：防水透濕織物：染整工程：泡沫塗佈：耐磨擦：耐水洗：自修復聚合體：形狀記憶聚合物：二硫鍵
PG10811-0224	原住民族重點學校：原住民族教育：教育政策
PG10802-0005	整合異質資料：關鍵字查詢：多元付款：資料庫活動監控：個資軌跡留存
PE10801-0293	女性主義立場論：建制民族誌：女性主義認識論：立足點
PB10801-1394	粗波長分波多工：自由空間光通訊：偏極化多工：空分多工
PB10801-1482	可撓性超級電容器：奈米結構電極：仿生珍珠層狀結構
PB10801-1260	仿生力學與仿生工程：三維撲翼：流體結構相互作用：翼翼相互作用：渦流動力學
PB10801-1469	甲魚蛋：高壓均質加工：乳化：奈米乳化：安定性：流變特性
PA10801-0566	量子幾何手術 flips：解析延拓：正則軌跡：frobenius 嵌入：線性系統之分解：細小的奇點化解：gromov--witten 不變量
PC10801-0979	全器官造影：三維生物物理：韌帶：組織工程
PB10801-1602	智慧財產權之保護：硬體安全：木馬植入：2.5d積體電路：分割製造：矽中介層：矽橋接：嵌入式多晶片互聯橋接：機器學習的攻擊方法：防禦性考量下的導線隱藏：防禦性考量下的系統劃分：插入虛設邏輯閘：隱藏邏輯閘
PC10801-1061	思覺失調症：育兒
PB10801-1590	非揮發性記憶體：電阻式記憶體：記憶體內運算
PE10801-0349	記憶：忘記：知識論：德性
PF10801-1031	衰退：回復：重整：金融危機
PC10801-1099	糖尿病：糖尿病心肌病變：心臟衰竭
PB10801-1518	芘胺：三芳香胺：咔唑：聚醯胺：聚醯亞胺：聚酯：聚醯肼：聚噁二唑：聚吡咯：共軛高分子：光致發光：電致變色：電激發光
PB10801-1494	多晶矽薄膜電晶體：連續波雷射：載子遷移率：晶粒：類單晶
PF10801-0926	憂鬱代間傳遞：脈絡影響：同儕：社區：時間變動效果
PB10801-1500	脊椎狹窄：磁振造影：肌少症：本體感覺：多裂肌：腹橫肌：感覺疼痛：動作功能評估
PF10801-1223	高級中等學校：競爭：學校選擇：因應策略
PB10801-1737	序率模擬：泥砂傳輸：明渠流：顆粒運動：隨機過程
PB10801-1570	窄頻物聯網：排程：資源分配
PB10801-1571	功率半導體元件：智慧型功率模組：氮化鎵功率元件：水冷式封裝模組：車用電子：功率轉換器：充電系統：功率轉換效率
